GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
proyectoMutante,com.mercadoLibre.challenge.mutantProject.dnaVerified.domain.model.dna,Dna,18,15,0,0,8,6,5,3,5,3
proyectoMutante,com.mercadoLibre.challenge.mutantProject.dnaVerified.infraestructure.share.constants,MessageInfraestructure,3,0,0,0,1,0,1,0,1,0
proyectoMutante,com.mercadoLibre.challenge.mutantProject.dnaVerified.aplication.query.querybus,Query,0,3,0,0,0,1,0,1,0,1
proyectoMutante,com.mercadoLibre.challenge.mutantProject.dnaVerified,ProyectoMutanteApplication,5,3,0,0,2,1,1,1,1,1
proyectoMutante,com.mercadoLibre.challenge.mutantProject.dnaVerified.infraestructure.rest.controllers,DnaController,0,60,1,5,0,18,1,5,0,3
proyectoMutante,com.mercadoLibre.challenge.mutantProject.dnaVerified.infraestructure.share,QueryConstants,3,0,0,0,1,0,1,0,1,0
proyectoMutante,com.mercadoLibre.challenge.mutantProject.dnaVerified.aplication.command,CreateAdnCommand.Builder,0,18,0,0,0,5,0,4,0,4
proyectoMutante,com.mercadoLibre.challenge.mutantProject.dnaVerified.aplication.command,CreateAdnCommand,4,9,0,0,2,4,1,2,1,2
proyectoMutante,com.mercadoLibre.challenge.mutantProject.dnaVerified.aplication.command,CreateAdnCommandHandler,8,104,4,6,3,23,4,6,0,5
proyectoMutante,com.mercadoLibre.challenge.mutantProject.dnaVerified.infraestructure.spring,SpringQueryBus,16,60,1,1,3,14,1,5,0,5
proyectoMutante,com.mercadoLibre.challenge.mutantProject.dnaVerified.infraestructure.spring,SpringCommandBus,17,58,1,1,3,14,1,5,0,5
proyectoMutante,com.mercadoLibre.challenge.mutantProject.dnaVerified.domain.shared.domainDnaBus,DnaValidation,1,344,7,33,1,61,7,24,0,11
proyectoMutante,com.mercadoLibre.challenge.mutantProject.dnaVerified.domain.shared.domainDnaBus,MutantDnaEnum,0,82,1,3,0,11,1,6,0,5
proyectoMutante,com.mercadoLibre.challenge.mutantProject.dnaVerified.aplication.commandBus,Command,0,3,0,0,0,1,0,1,0,1
proyectoMutante,com.mercadoLibre.challenge.mutantProject.dnaVerified.domain.model.dna.constants,MessagesModel,3,0,0,0,1,0,1,0,1,0
proyectoMutante,com.mercadoLibre.challenge.mutantProject.dnaVerified.aplication.query,DnaStatsQueryDTO,11,25,0,0,5,10,3,5,3,5
proyectoMutante,com.mercadoLibre.challenge.mutantProject.dnaVerified.aplication.query,DnaStatsQueryHandler,3,113,10,16,0,18,10,5,0,2
proyectoMutante,com.mercadoLibre.challenge.mutantProject.dnaVerified.domain.model.dna.exception,DnaStructureException,5,4,0,0,2,2,1,1,1,1
proyectoMutante,com.mercadoLibre.challenge.mutantProject.dnaVerified.domain.model.dna.exception,ModelError,0,13,0,0,0,6,0,3,0,3
proyectoMutante,com.mercadoLibre.challenge.mutantProject.dnaVerified.domain.model.dna.exception,ValidadorResult,5,73,2,4,1,17,2,8,0,7
